x,y,z,Pixel Trigger Value,Point Type
39.474121,-6.000001,4.6000231632,6,1
39.610297,-5.999997,4.6000231632,4,2
39.542209,-5.999997,4.5335670498,4,3
39.474406,-5.999998,4.6000231632,7,1
39.610547,-5.999999,4.6000231632,1,2
39.542479,-5.999999,4.5334670406,4,3
39.473046,-5.999997,4.6000231632,6,1
39.610504,-5.999998,4.6000231632,2,2
39.541774,-6,4.5324669486,5,3
39.47437,-5.999997,4.6000231632,6,1
39.609243,-6.000002,4.6000231632,2,2
39.541805,-6,4.5309668106,4,3
39.473126,-5.999997,4.6000231632,7,1
39.609576,-5.999999,4.6000231632,4,2
39.541351,-5.999999,4.533667059,4,3
39.474464,-5.999998,4.6000231632,7,1
39.608484,-5.999999,4.6000231632,5,2
39.541473,-5.999995,4.5311168244,3,3
39.473177,-5.999998,4.6000231632,6,1
39.609307,-6.000002,4.6000231632,5,2
39.541242,-6,4.5334670406,5,3
39.47308,-5.999996,4.6000231632,7,1
39.609224,-6,4.6000231632,5,2
39.541151,-5.999998,4.532416944,5,3
39.471798,-5.999997,4.6000231632,6,1
39.609211,-5.999999,4.6000231632,4,2
39.540506,-5.999994,4.5322169256,5,3
39.473158,-6,4.6000231632,7,1
39.609337,-5.999999,4.6000231632,4,2
39.541247,-6.000002,4.5334670406,5,3
39.473157,-6,4.6000231632,6,1
39.608205,-5.999999,4.6000231632,5,2
39.540682,-6,4.5312168336,4,3
39.473145,-6.000002,4.6000231632,6,1
39.609233,-5.999999,4.6000231632,4,2
39.54119,-6.000005,4.5334670406,5,3
39.472842,-5.999998,4.6000231632,6,1
39.609006,-6.000001,4.6000231632,4,2
39.540924,-5.999996,4.5311168244,5,3
39.47312,-5.999996,4.6000231632,7,1
39.609275,-5.999999,4.6000231632,4,2
39.541199,-5.999998,4.5295166772,4,3
39.471858,-5.999999,4.6000231632,6,1
39.607934,-5.999999,4.6000231632,4,2
39.539895,-6.000001,4.5285165852,4,3
39.473199,-5.999998,4.6000231632,7,1
39.608295,-5.999997,4.6000231632,3,2
39.540747,-5.999999,4.5298667094,3,3
39.4731,-6,4.6000231632,8,1
39.607966,-5.999996,4.6000231632,5,2
39.540534,-5.999998,4.531166829,5,3
39.471923,-6,4.6000231632,6,1
39.607062,-5.999999,4.6000231632,4,2
39.539494,-6.000005,4.5298167048,4,3
39.470406,-5.999997,4.6000231632,6,1
39.607854,-5.999998,4.6000231632,4,2
39.53913,-6,4.5270664518,3,3
39.472685,-5.999999,4.6000231632,9,1
39.607446,-5.999998,4.6000231632,4,2
39.540066,-5.999998,4.5298167048,5,3
39.471853,-5.999998,4.6000231632,6,1
39.608007,-5.999999,4.6000231632,3,2
39.539931,-5.999995,4.5273664794,4,3
39.470415,-6,4.6000231632,6,1
39.606865,-5.999996,4.6000231632,5,2
39.538642,-5.999996,4.5286165944,5,3
39.470896,-6,4.6000231632,6,1
39.608338,-5.999998,4.6000231632,3,2
39.539616,-6.000002,4.527166461,5,3
39.471788,-5.999999,4.6000231632,6,1
39.606685,-6.000002,4.6000231632,2,2
39.539236,-6.000001,4.5285165852,4,3
39.471819,-5.999998,4.6000231632,7,1
39.607894,-5.999999,4.6000231632,3,2
39.539859,-6.000001,4.5285165852,5,3
39.47183,-5.999998,4.6000231632,7,1
39.606572,-6,4.6000231632,5,2
39.539203,-5.999998,4.5284665806,4,3
39.470534,-5.999999,4.6000231632,6,1
39.60794,-6.000002,4.6000231632,5,2
39.539236,-6.000003,4.5299667186,5,3
39.472175,-6,4.6000231632,7,1
39.60704,-5.999999,4.6000231632,2,2
39.539608,-6.000005,4.5283665714,5,3
39.470412,-5.999998,4.6000231632,6,1
39.607907,-5.999998,4.6000231632,3,2
39.539159,-5.999996,4.528666599,5,3
39.470488,-5.999994,4.6000231632,6,1
39.6079,-5.999998,4.6000231632,2,2
39.539194,-5.999995,4.5285165852,5,3
39.469412,-5.999998,4.6000231632,6,1
39.606898,-6.000001,4.6000231632,4,2
39.538157,-6,4.5284665806,5,3
39.469135,-6.000001,4.6000231632,6,1
39.606576,-5.999998,4.6000231632,5,2
39.537857,-6.000002,4.5274664886,5,3
39.469184,-5.999996,4.6000231632,6,1
39.605355,-6.000003,4.6000231632,5,2
39.537271,-5.999998,4.5248662494,5,3
39.470516,-6,4.6000231632,6,1
39.605693,-5.999998,4.6000231632,4,2
39.538105,-5.999997,4.5258163368,5,3
39.46935,-6.000002,4.6000231632,7,1
39.605499,-5.999998,4.6000231632,5,2
39.537426,-5.999996,4.5271164564,5,3
39.469499,-5.999997,4.6000231632,8,1
39.605592,-6.000001,4.6000231632,4,2
39.537546,-5.999999,4.5245662218,4,3
