x,y,z,Pixel Trigger Value,Point Type
39.440107,-5.999995,4.6000231632,6,1
39.618107,-6,4.6000231632,3,2
39.529105,-5.999995,4.4921132364,5,3
39.439163,-6.000002,4.6000231632,7,1
39.618138,-5.999999,4.6000231632,3,2
39.528652,-6,4.489412988,1,3
39.440138,-6.000001,4.6000231632,6,1
39.61806,-5.999998,4.6000231632,4,2
39.529099,-6,4.4920132272,4,3
39.441385,-6,4.6000231632,7,1
39.619315,-5.999999,4.6000231632,3,2
39.530349,-6,4.4919632226,5,3
39.440427,-5.999998,4.6000231632,6,1
39.615402,-6.000002,4.6000231632,4,2
39.527913,-6,4.4905630938,5,3
39.440143,-5.999995,4.6000231632,6,1
39.617841,-6.000001,4.6000231632,4,2
39.528993,-5.999997,4.489412988,0,3
39.441017,-5.999996,4.6000231632,9,1
39.617818,-5.999996,4.6000231632,5,2
39.529417,-5.999994,4.4918632134,5,3
39.441423,-6,4.6000231632,6,1
39.615487,-6.000003,4.6000231632,5,2
39.528454,-6.000002,4.4920132272,3,3
39.441713,-5.999996,4.6000231632,7,1
39.618008,-6.000003,4.6000231632,5,2
39.529862,-5.999998,4.4905130892,2,3
39.440413,-6.000002,4.6000231632,6,1
39.616698,-5.999999,4.6000231632,5,2
39.528554,-6.000001,4.4920632318,4,3
39.441129,-5.999999,4.6000231632,7,1
39.616445,-5.999999,4.6000231632,5,2
39.528787,-6.000001,4.490663103,3,3
39.440128,-6.000003,4.6000231632,7,1
39.618034,-5.999998,4.6000231632,1,2
39.529084,-6.000005,4.4906130984,3,3
39.440239,-6,4.6000231632,6,1
39.618139,-6,4.6000231632,5,2
39.529192,-6.000002,4.489663011,4,3
39.441446,-5.999998,4.6000231632,9,1
39.616737,-5.999995,4.6000231632,5,2
39.529092,-6.000001,4.4920132272,5,3
39.439114,-5.999999,4.6000231632,6,1
39.616788,-6,4.6000231632,5,2
39.52795,-6,4.4893629834,2,3
39.440378,-6,4.6000231632,6,1
39.616754,-6,4.6000231632,5,2
39.528567,-6,4.4907131076,5,3
39.440455,-6,4.6000231632,8,1
39.616759,-5.999998,4.6000231632,4,2
39.528604,-6.000001,4.4919632226,4,3
39.4415,-6,4.6000231632,7,1
39.616742,-6.000003,4.6000231632,5,2
39.529123,-6.000002,4.4883628914,1,3
39.442558,-6,4.6000231632,10,1
39.616453,-6.000001,4.6000231632,5,2
39.529506,-6.000002,4.490663103,2,3
39.441473,-5.999997,4.6000231632,8,1
39.617072,-5.999999,4.6000231632,3,2
39.529271,-5.999996,4.4905630938,3,3
39.441434,-6,4.6000231632,7,1
39.615394,-5.999999,4.6000231632,5,2
39.528415,-6,4.490663103,4,3
39.439771,-5.999999,4.6000231632,7,1
39.616365,-6.000001,4.6000231632,5,2
39.528067,-6,4.4905130892,5,3
39.440082,-6,4.6000231632,6,1
39.616794,-6,4.6000231632,5,2
39.528438,-6,4.4906130984,4,3
39.441104,-6.000001,4.6000231632,7,1
39.617807,-5.999999,4.6000231632,3,2
39.529453,-6,4.4911131444,5,3
39.439704,-6,4.6000231632,6,1
39.616271,-6,4.6000231632,5,2
39.527988,-6.000001,4.4893629834,3,3
39.440139,-5.999995,4.6000231632,6,1
39.616768,-6,4.6000231632,4,2
39.528452,-5.999996,4.4893629834,2,3
39.440159,-6,4.6000231632,7,1
39.618229,-6,4.6000231632,2,2
39.529193,-6,4.4907631122,5,3
39.44152,-5.999999,4.6000231632,8,1
39.618132,-5.999999,4.6000231632,2,2
39.529825,-5.999996,4.4897130156,3,3
39.440044,-5.999996,4.6000231632,7,1
39.618004,-6,4.6000231632,3,2
39.529023,-6,4.4897130156,4,3
39.441095,-6,4.6000231632,9,1
39.616361,-5.999999,4.6000231632,4,2
39.528726,-6.000001,4.485662643,4,3
39.439688,-6,4.6000231632,7,1
39.616417,-5.999997,4.6000231632,4,2
39.528052,-5.999998,4.4865627258,4,3
39.440614,-5.999999,4.6000231632,6,1
39.616804,-5.999999,4.6000231632,3,2
39.528709,-6,4.4870127672,5,3
39.441023,-5.999998,4.6000231632,6,1
39.617647,-5.999997,4.6000231632,4,2
39.529335,-5.999999,4.4857126476,3,3
39.442923,-5.999997,4.6000231632,9,1
39.615829,-5.999997,4.6000231632,4,2
39.529375,-5.999998,4.4868127488,2,3
39.44274,-5.999998,4.6000231632,15,1
39.615391,-6.000002,4.6000231632,4,2
39.529067,-6.000001,4.4892629742,5,3
39.440005,-6.000002,4.6000231632,6,1
39.616661,-5.999998,4.6000231632,5,2
39.528332,-6.000002,4.4857626522,4,3
