x,y,z,Pixel Trigger Value,Point Type
39.461612,-5.999997,4.6000231632,7,1
39.597806,-5.999999,4.6000231632,3,2
39.529709,-5.999994,4.518665679,4,3
39.464017,-5.999997,4.6000231632,7,1
39.596255,-5.999998,4.6000231632,4,2
39.530136,-6,4.5173155548,5,3
39.462867,-6,4.6000231632,8,1
39.597573,-6.000001,4.6000231632,4,2
39.53022,-6.000001,4.516915518,3,3
39.464235,-5.999997,4.6000231632,7,1
39.59795,-6,4.6000231632,3,2
39.531095,-6.000001,4.515915426,3,3
39.464225,-5.999998,4.6000231632,6,1
39.598049,-5.999996,4.6000231632,3,2
39.531136,-5.999995,4.5146153064,4,3
39.462929,-5.999998,4.6000231632,6,1
39.597703,-5.999997,4.6000231632,4,2
39.530315,-5.999998,4.5160654398,5,3
39.464258,-5.999998,4.6000231632,7,1
39.595359,-5.999994,4.6000231632,3,2
39.529809,-5.999995,4.5160154352,5,3
39.464251,-6,4.6000231632,6,1
39.597582,-5.999999,4.6000231632,2,2
39.530917,-5.999998,4.5147153156,4,3
39.465572,-5.999997,4.6000231632,9,1
39.59809,-5.999998,4.6000231632,2,2
39.531831,-5.999998,4.5136152144,5,3
39.464197,-5.999999,4.6000231632,6,1
39.597883,-5.999998,4.6000231632,3,2
39.531039,-5.999998,4.514665311,5,3
39.464689,-5.999998,4.6000231632,10,1
39.596589,-5.999997,4.6000231632,5,2
39.530639,-6.000003,4.5160154352,5,3
39.460243,-5.999999,4.6000231632,6,1
39.597587,-5.999995,4.6000231632,3,2
39.528915,-5.999994,4.514665311,5,3
39.46191,-5.999999,4.6000231632,6,1
39.597931,-5.999998,4.6000231632,3,2
39.529921,-6,4.5146153064,2,3
39.464212,-5.999997,4.6000231632,8,1
39.597615,-5.999999,4.6000231632,5,2
39.530914,-5.999995,4.5168655134,4,3
39.461871,-5.999998,4.6000231632,7,1
39.596523,-6,4.6000231632,4,2
39.529196,-6.000001,4.515915426,3,3
39.46414,-6,4.6000231632,9,1
39.59754,-6.000002,4.6000231632,2,2
39.53084,-6.000002,4.515665403,4,3
39.463164,-5.999996,4.6000231632,7,1
39.59656,-5.999998,4.6000231632,5,2
39.529863,-5.999997,4.5160154352,4,3
39.462931,-5.999998,4.6000231632,6,1
39.596666,-5.999998,4.6000231632,4,2
39.5298,-5.999998,4.5158654214,5,3
39.461893,-5.999998,4.6000231632,6,1
39.596651,-6,4.6000231632,5,2
39.52927,-6.000001,4.514665311,4,3
39.458973,-6.000001,4.6000231632,6,1
39.596358,-6.000001,4.6000231632,4,2
39.527666,-6.000001,4.5133151868,3,3
39.462882,-5.999998,4.6000231632,6,1
39.596549,-5.999997,4.6000231632,4,2
39.529718,-5.999997,4.514665311,4,3
39.464194,-5.999999,4.6000231632,7,1
39.597988,-6,4.6000231632,2,2
39.531094,-5.999998,4.5133651914,5,3
39.463252,-5.999997,4.6000231632,7,1
39.596652,-6.000001,4.6000231632,5,2
39.529952,-5.999998,4.511915058,4,3
39.462876,-6,4.6000231632,6,1
39.596343,-5.999998,4.6000231632,3,2
39.52961,-5.999991,4.5133651914,5,3
39.464213,-6.000001,4.6000231632,7,1
39.596625,-5.999992,4.6000231632,2,2
39.53042,-5.999995,4.513415196,3,3
39.464286,-5.999998,4.6000231632,8,1
39.596623,-5.999998,4.6000231632,2,2
39.530456,-5.999998,4.514665311,5,3
39.46298,-6,4.6000231632,7,1
39.596356,-5.999996,4.6000231632,2,2
39.529668,-5.999997,4.5133651914,4,3
39.464117,-5.999999,4.6000231632,6,1
39.597875,-6.000001,4.6000231632,4,2
39.530999,-6,4.5145152972,5,3
39.463225,-5.999997,4.6000231632,7,1
39.59788,-5.999999,4.6000231632,3,2
39.530556,-5.999996,4.5133151868,4,3
39.462958,-6,4.6000731678,7,1
39.596727,-5.999996,4.6000231632,4,2
39.529843,-6,4.5133651914,3,3
39.461805,-5.999999,4.6000231632,6,1
39.596535,-6.000001,4.6000231632,3,2
39.52917,-6.000006,4.5132651822,3,3
39.463066,-6.000001,4.6000231632,9,1
39.596603,-6.000001,4.6000231632,3,2
39.529834,-6.000003,4.5134652006,5,3
39.464218,-6.000003,4.6000231632,7,1
39.595439,-5.999997,4.6000231632,2,2
39.529828,-6.000001,4.514665311,3,3
39.462844,-6.000001,4.6000231632,6,1
39.597597,-5.999999,4.6000231632,4,2
39.530222,-6,4.514665311,4,3
39.464188,-5.999998,4.6000231632,9,1
39.597638,-6,4.6000231632,5,2
39.530911,-6,4.5147153156,4,3
39.464261,-5.999998,4.6000231632,6,1
39.596681,-6.000002,4.6000231632,4,2
39.530472,-5.999995,4.5120650718,3,3
