x,y,z,Pixel Trigger Value,Point Type
39.440213,-5.999998,4.6000231632,7,1
39.615528,-5.999996,4.6000231632,5,2
39.527874,-5.999996,4.4829623946,5,3
39.438708,-5.999995,4.5700204032,8,1
39.616772,-5.999996,4.5700204032,4,2
39.52774,-5.999997,4.4834624406,5,3
39.44403,-5.999997,4.5400176432,8,1
39.607811,-5.999999,4.5400176432,4,2
39.525922,-6,4.4822123256,5,3
39.450314,-6.000003,4.5300167232,11,1
39.601489,-6,4.5300167232,4,2
39.525903,-6.000005,4.4825623578,4,3
39.437499,-6,4.6000231632,6,1
39.615404,-6.000001,4.6000231632,3,2
39.526452,-6.000005,4.4843625234,5,3
39.436508,-5.999994,4.5700204032,6,1
39.616759,-5.999998,4.5700204032,2,2
39.526632,-5.999995,4.4833624314,4,3
39.442719,-6.000001,4.5400176432,6,1
39.607794,-6.000001,4.5400176432,4,2
39.525255,-6.000002,4.4837124636,5,3
39.449073,-5.999995,4.5300167232,9,1
39.603032,-6.000003,4.5300167232,3,2
39.526055,-6,4.4823123348,5,3
39.439163,-5.999998,4.6000231632,8,1
39.615467,-5.999997,4.6000231632,5,2
39.527313,-6,4.4843625234,5,3
39.440125,-6.000001,4.5700204032,11,1
39.61668,-6,4.5700204032,3,2
39.528403,-6,4.484662551,5,3
39.445411,-6,4.5400176432,9,1
39.608209,-5.999999,4.5400176432,5,2
39.526808,-6.000002,4.4837124636,5,3
39.449045,-6.000001,4.5300167232,8,1
39.602873,-5.999999,4.5300167232,3,2
39.52596,-6.000003,4.4825623578,5,3
39.357758,-7.000001,4.6299759186,8,1
39.493722,-7,4.6299759186,4,2
39.42574,-7.000005,4.5571192164,3,3
39.355247,-7.000001,4.6199749986,6,1
39.495382,-7.000003,4.6199749986,2,2
39.425314,-7.000004,4.5573692394,2,3
39.356645,-7,4.6100240832,7,1
39.492625,-6.999996,4.6100240832,4,2
39.424635,-7,4.5572192256,4,3
39.359222,-7.000001,4.6000231632,8,1
39.366567,-6.999996,4.6000231632,4,2
39.362894,-7,4.58292159,5,3
39.357843,-7,4.6299759186,8,1
39.493995,-6.999998,4.6299759186,5,2
39.425922,-7,4.5571192164,3,3
39.354986,-7.000001,4.6199749986,6,1
39.495948,-6.999999,4.6199749986,3,2
39.425466,-7.000001,4.5597194556,5,3
39.356608,-7,4.6100240832,8,1
39.49143,-6.999999,4.6100240832,5,2
39.424019,-7.000002,4.5572692302,3,3
39.359365,-7.000001,4.6000231632,10,1
39.486845,-6.999999,4.6000231632,3,2
39.423106,-7,4.5577192716,4,3
39.357931,-7,4.6299759186,8,1
39.495307,-7.000001,4.6299759186,2,2
39.426621,-7.000002,4.5583693314,5,3
39.356613,-7.000001,4.6199749986,10,1
39.495362,-6.999997,4.6199749986,4,2
39.425988,-7.000001,4.5572692302,3,3
39.357012,-6.999999,4.6100240832,9,1
39.493039,-6.999999,4.6100240832,5,2
39.425025,-6.999997,4.5576192624,3,3
39.359331,-6.999996,4.6000231632,9,1
39.486391,-7.000001,4.6000231632,4,2
39.422865,-6.999998,4.5575692578,2,3
39.270498,-7.999998,4.6899814386,8,1
39.37515,-7.999996,4.6899814386,4,2
39.322832,-7.999999,4.6310260152,4,3
39.270532,-7.999999,4.6799805186,6,1
39.375167,-7.999996,4.6799805186,3,2
39.322855,-8.000002,4.6312760382,5,3
39.271717,-7.999998,4.6699795986,6,1
39.377415,-8,4.6699795986,2,2
39.32459,-8.000001,4.6301259324,4,3
39.275715,-7.999996,4.6599786786,9,1
39.368876,-8.000002,4.6599786786,4,2
39.322293,-8,4.6304759646,3,3
39.270404,-7.999999,4.6899814386,10,1
39.373853,-7.999998,4.6899814386,4,2
39.322124,-7.999997,4.6299759186,1,3
39.270507,-7.999997,4.6799805186,7,1
39.375213,-8.000002,4.6799805186,2,2
39.322857,-8,4.6311260244,4,3
39.271895,-8.000001,4.6699795986,9,1
39.37484,-8.000003,4.6699795986,4,2
39.323381,-8.000002,4.6310760198,3,3
39.274516,-8.000002,4.6599786786,7,1
39.367697,-8,4.6599786786,5,2
39.321098,-8.000002,4.6300259232,3,3
39.270165,-8,4.6899814386,8,1
39.374485,-7.999997,4.6899814386,4,2
39.322325,-7.999997,4.6310260152,5,3
39.271828,-7.999999,4.6799805186,8,1
39.376194,-8.000004,4.6799805186,4,2
39.324012,-8,4.6313260428,4,3
39.271828,-8.000003,4.6699795986,8,1
39.376592,-7.999996,4.6699795986,2,2
39.324212,-8.000001,4.6300759278,0,3
39.275771,-7.999995,4.6599786786,7,1
39.367565,-8.000002,4.6599786786,4,2
39.321676,-7.999998,4.6313260428,4,3
