x,y,z,Pixel Trigger Value,Point Type
41.445918,-10.000003,4.2699928032,7,1
41.445733,-10,4.2699928032,6,1
41.445303,-9.999999,4.2699928032,7,1
41.445109,-9.999998,4.2699928032,7,1
41.444167,-10.000003,4.2699928032,6,1
41.444232,-10,4.2699928032,6,1
41.4444,-10.000003,4.2699928032,8,1
41.444098,-9.999998,4.2699928032,7,1
41.442763,-9.999997,4.2699928032,6,1
41.443211,-10.000001,4.2699928032,6,1
41.442961,-10,4.2699928032,6,1
41.441809,-10,4.2699928032,6,1
41.443278,-10.000001,4.2699928032,7,1
41.442582,-10.000002,4.2699928032,6,1
41.442252,-10.000003,4.2699928032,6,1
41.442585,-10.000001,4.2699928032,6,1
41.441958,-10,4.2699928032,6,1
41.44145,-10.000002,4.2699928032,6,1
41.44195,-9.999997,4.2699928032,6,1
41.441757,-9.999997,4.2699928032,6,1
41.441377,-9.999999,4.2699928032,6,1
41.441621,-10.000004,4.2699928032,6,1
41.441135,-10.000001,4.2699928032,6,1
41.441623,-10.000003,4.2699928032,7,1
41.440754,-9.999999,4.2699928032,6,1
41.441447,-9.999998,4.2699928032,6,1
41.44113,-9.999999,4.2699928032,6,1
41.441694,-10.000001,4.2699928032,6,1
41.441202,-9.999997,4.2699928032,6,1
41.441311,-9.999998,4.2699928032,7,1
