x,y,z,Pixel Trigger Value,Point Type,Time
43.236104,-9.999995,4.8299943186,46,1,10:48:07.813058
43.233106,-9.999991,4.8299943186,10,1,10:48:08.442884
43.24452,-9.999991,4.8299943186,63,1,10:48:09.193152
43.236599,-9.999998,4.8299943186,72,1,10:48:09.955202
43.244299,-9.999994,4.8299943186,63,1,10:48:10.712182
43.236149,-9.999997,4.8300443232,60,1,10:48:11.470495
43.244832,-9.999991,4.8299943186,61,1,10:48:12.232871
43.236598,-9.999998,4.8299943186,52,1,10:48:12.992916
43.23642,-9.999993,4.8299943186,47,1,10:48:13.750250
43.237004,-9.999998,4.8299943186,56,1,10:48:14.515121
43.244533,-9.999992,4.8299943186,65,1,10:48:15.269562
43.236776,-9.999995,4.8299943186,42,1,10:48:16.030329
43.236419,-9.999993,4.8299943186,42,1,10:48:16.792026
43.236371,-9.999994,4.8299943186,51,1,10:48:17.542565
43.236646,-9.999996,4.8299943186,49,1,10:48:18.302573
43.239389,-9.999994,4.8299943186,67,1,10:48:19.068644
43.238802,-9.999998,4.8299943186,70,1,10:48:19.825988
43.238851,-9.999998,4.8299943186,74,1,10:48:20.551128
43.239531,-9.999995,4.8299943186,79,1,10:48:21.311913
43.239436,-9.999995,4.8299943186,70,1,10:48:22.071984
43.239123,-9.999997,4.8299943186,82,1,10:48:22.828311
43.236552,-9.999994,4.8299943186,78,1,10:48:23.584617
43.23588,-9.999993,4.8299943186,74,1,10:48:24.348080
43.235925,-9.999997,4.8299943186,57,1,10:48:25.100871
43.244989,-9.999995,4.8299943186,86,1,10:48:25.869487
43.236645,-9.999996,4.8299943186,73,1,10:48:26.621063
43.236551,-9.999996,4.8299943186,77,1,10:48:27.381946
43.244744,-9.999992,4.8299943186,68,1,10:48:28.142951
43.236691,-9.999995,4.8299943186,68,1,10:48:28.898844
43.244658,-9.999996,4.8299943186,78,1,10:48:29.658431
