x,y,z,Pixel Trigger Value,Point Type
39.440137,-5.999999,4.6000231632,7,1
39.615086,-6,4.6000231632,4,2
39.52761,-6.000003,4.4830624038,5,3
39.437531,-6.000001,4.5700204032,8,1
39.615475,-6,4.5700204032,4,2
39.526501,-6.000003,4.4810622198,2,3
39.445006,-6,4.5400176432,8,1
39.607866,-5.999999,4.5400176432,3,2
39.526437,-6.000002,4.4811122244,5,3
39.449457,-6,4.5300167232,7,1
39.602943,-6,4.5300167232,3,2
39.526202,-5.999998,4.4836124544,5,3
39.439191,-5.999998,4.6000231632,6,1
39.615363,-5.999999,4.6000231632,3,2
39.527276,-5.999998,4.48291239,5,3
39.441566,-6.000001,4.5700204032,10,1
39.615505,-6.000001,4.5700204032,4,2
39.528538,-5.999999,4.4835124452,5,3
39.442752,-5.999998,4.5400176432,7,1
39.608212,-5.999998,4.5400176432,5,2
39.525484,-6.000002,4.482412344,5,3
39.449066,-5.999998,4.5300167232,8,1
39.60387,-6.000001,4.5300167232,4,2
39.526468,-5.999999,4.4809622106,3,3
39.440039,-6,4.6000231632,6,1
39.61542,-5.999999,4.6000231632,4,2
39.52773,-6,4.4818122888,4,3
39.436489,-5.999997,4.5700204032,6,1
39.615776,-5.999999,4.5700204032,3,2
39.526134,-6.000001,4.4837624682,4,3
39.441501,-6,4.5400176432,6,1
39.607807,-5.999997,4.5400176432,5,2
39.524651,-5.999997,4.4824623486,5,3
39.447359,-6.000003,4.5300167232,6,1
39.601224,-5.999997,4.5300167232,5,2
39.524293,-5.999999,4.4826123624,4,3
39.35922,-6.999999,4.6299759186,7,1
39.495262,-7,4.6299759186,1,2
39.427242,-7,4.5571192164,5,3
39.356992,-6.999997,4.6199749986,6,1
39.494233,-7,4.6199749986,5,2
39.425614,-6.999997,4.5585193452,5,3
39.356903,-7.000002,4.6100240832,7,1
39.491634,-6.999995,4.6100240832,4,2
39.424268,-7.000001,4.5573192348,5,3
39.359201,-6.999999,4.6000231632,9,1
39.366615,-7,4.6000231632,5,2
39.362907,-6.999997,4.58292159,4,3
39.357894,-6.999999,4.6299759186,7,1
39.49397,-6.999998,4.6299759186,4,2
39.425931,-7,4.5571192164,3,3
39.356646,-6.999996,4.6199749986,7,1
39.496305,-6.999997,4.6199749986,2,2
39.426479,-6.999996,4.5583693314,5,3
39.357911,-6.999999,4.6100240832,6,1
39.493022,-7.000001,4.6100240832,4,2
39.425467,-6.999999,4.5576192624,4,3
39.35893,-7.000001,4.6000231632,6,1
39.488823,-7.000002,4.6000231632,2,2
39.423879,-7.000002,4.5575692578,5,3
39.357941,-6.999997,4.6299759186,8,1
39.495288,-7,4.6299759186,3,2
39.426614,-6.999999,4.5571192164,3,3
39.356549,-7,4.6199749986,8,1
39.49399,-6.999997,4.6199749986,4,2
39.425267,-6.999997,4.5582693222,5,3
39.355577,-6.999997,4.6100240832,6,1
39.491649,-6.999996,4.6100240832,4,2
39.423611,-6.999998,4.5586193544,4,3
39.359317,-7,4.6000231632,9,1
39.486396,-6.999997,4.6000231632,5,2
39.422856,-6.999998,4.5575192532,3,3
39.270298,-7.999998,4.6899814386,6,1
39.374635,-8,4.6899814386,5,2
39.322468,-8,4.6309760106,4,3
39.271818,-7.999999,4.6799805186,10,1
39.376241,-8.000001,4.6799805186,4,2
39.324026,-8.000002,4.6312760382,4,3
39.271829,-7.999997,4.6699795986,8,1
39.375346,-7.999996,4.6699795986,5,2
39.32359,-7.999996,4.6314760566,4,3
39.265246,-7.999997,4.6599786786,7,1
39.271617,-7.999999,4.6599786786,1,2
39.268433,-7.999995,4.6542781542,2,3
39.270432,-8.000001,4.6899814386,7,1
39.374808,-7.999997,4.6899814386,5,2
39.322608,-8.000004,4.6310260152,5,3
39.271819,-7.999997,4.6799805186,12,1
39.376113,-8.000001,4.6799805186,3,2
39.323971,-8.000004,4.6298759094,2,3
39.265224,-8,4.6699795986,6,1
39.271602,-8.000002,4.6699795986,1,2
39.268412,-8.000003,4.6641290604,3,3
39.275423,-7.999997,4.6599786786,9,1
39.367248,-7.999997,4.6599786786,3,2
39.321337,-7.999996,4.630175937,2,3
39.270509,-7.999996,4.6899814386,7,1
39.376232,-7.999999,4.6899814386,1,2
39.323369,-7.999999,4.6295758818,1,3
39.271824,-7.999998,4.6799805186,10,1
39.375152,-8.000001,4.6799805186,3,2
39.323487,-8,4.6298759094,2,3
39.272476,-7.999998,4.6699795986,11,1
39.374548,-8,4.6699795986,4,2
39.323509,-7.999998,4.6297759002,2,3
39.275833,-8.000003,4.6599786786,9,1
39.367515,-7.999999,4.6599786786,2,2
39.321674,-8.000001,4.6300259232,3,3
