x,y,z,Pixel Trigger Value,Point Type,Time
75.403071,32.999995,-1.8396192294,6,1,11:41:30.666784
75.384099,32.999993,-1.8396192294,0,2,11:41:37.236953
75.393585,32.999993,-1.819167348,4,3,11:41:43.800125
73.468239,33.000004,-1.3649755662,6,1,11:42:28.000453
73.448849,32.999997,-1.3649755662,0,2,11:42:34.564246
73.458544,33.000003,-1.3445736894,3,3,11:42:41.135346
73.455659,33.000003,-1.3699760262,6,1,11:43:03.347901
73.436758,33.000003,-1.3699760262,1,2,11:43:09.913786
73.446209,33.000002,-1.3495741494,2,3,11:43:16.486638
73.463932,33.000005,-1.3638254604,10,1,11:43:30.383427
73.444697,33.000001,-1.3638254604,1,2,11:43:37.053063
73.454314,32.999999,-1.343623602,4,3,11:43:43.625314
73.453219,33.000002,-1.347123924,6,1,11:43:53.746451
73.433374,33,-1.347123924,3,2,11:44:00.287156
73.443301,32.999998,-1.3269720702,3,3,11:44:06.857681
73.449514,32.999999,-1.3299723462,6,1,11:44:18.490179
73.430239,32.999998,-1.3299723462,1,2,11:44:25.042233
73.439873,33.000001,-1.3095204648,2,3,11:44:31.612463
