x,y,z,Pixel Trigger Value,Point Type
41.461361,-9.999997,4.2699928032,6,1
41.461085,-9.999999,4.2699928032,6,1
41.461331,-9.999998,4.2699928032,6,1
41.461513,-9.999995,4.2699928032,8,1
41.460578,-9.999998,4.2699928032,6,1
41.460097,-9.999997,4.2699928032,6,1
41.458563,-10.000003,4.2699928032,6,1
41.459328,-10.000001,4.2699928032,6,1
41.459328,-10.000002,4.2699928032,7,1
41.459063,-10.000002,4.2699928032,8,1
41.45773,-9.999999,4.2699928032,6,1
41.457927,-9.999999,4.2699928032,6,1
41.457944,-10.000001,4.2699928032,6,1
41.456824,-10.000006,4.2699928032,6,1
41.456656,-10,4.2699928032,6,1
41.456548,-9.999995,4.2699928032,6,1
41.456286,-10.000001,4.2699928032,6,1
41.456202,-10,4.2699928032,6,1
41.456044,-10.000004,4.2699928032,6,1
41.455301,-10.000002,4.2699928032,6,1
41.45441,-10.000004,4.2699928032,7,1
41.454142,-10,4.2699928032,6,1
41.454547,-10.000001,4.2699928032,6,1
41.454516,-10.000001,4.2699928032,7,1
41.453644,-9.999998,4.2699928032,6,1
41.454543,-9.999999,4.2699928032,6,1
41.453257,-10.000002,4.2699928032,6,1
41.45414,-10.000001,4.2699928032,7,1
41.454537,-10.000001,4.2699928032,9,1
41.453871,-9.999998,4.2699928032,6,1
