x,y,z,Pixel Trigger Value,Point Type,Time
43.179791,-9.999998,4.8299943186,7,1,10:55:30.046172
43.17875,-9.999997,4.8299943186,8,1,10:55:31.062735
43.178528,-9.999999,4.8299943186,6,1,10:55:32.059769
43.178867,-10,4.8299943186,7,1,10:55:33.075903
43.178695,-10.000002,4.8299943186,9,1,10:55:34.094411
43.178732,-9.999996,4.8299943186,7,1,10:55:35.079838
43.180061,-10,4.8299943186,10,1,10:55:36.243131
43.180087,-10,4.8299943186,12,1,10:55:37.363557
43.177499,-10.000003,4.8299943186,7,1,10:55:38.256672
43.178514,-10,4.8299943186,7,1,10:55:39.255576
43.177473,-9.999999,4.8299943186,6,1,10:55:40.136939
43.178723,-9.999997,4.8299943186,9,1,10:55:41.154652
43.177379,-9.999994,4.8299943186,7,1,10:55:42.049820
43.180091,-10,4.8299943186,9,1,10:55:43.170815
43.177788,-10,4.8299943186,6,1,10:55:44.098803
43.180113,-10.000001,4.8299943186,10,1,10:55:45.320046
43.1787,-10.000001,4.8299943186,9,1,10:55:46.338128
43.178382,-9.999999,4.8299943186,9,1,10:55:47.333478
43.178813,-10,4.8299943186,11,1,10:55:48.358909
43.178717,-9.999999,4.8299943186,10,1,10:55:49.374512
43.178834,-9.999997,4.8299943186,7,1,10:55:50.369582
43.178794,-10,4.8299943186,7,1,10:55:51.394545
43.178372,-10.000001,4.8299943186,6,1,10:55:52.377115
43.177398,-9.999997,4.8299943186,6,1,10:55:53.270321
43.178843,-10.000002,4.8299943186,9,1,10:55:54.299866
43.179726,-9.999994,4.8300443232,10,1,10:55:55.415452
43.17878,-9.999999,4.8299943186,9,1,10:55:56.437090
43.177412,-10,4.8299943186,6,1,10:55:57.332755
43.178717,-10,4.8299943186,8,1,10:55:58.318943
43.177369,-10.000003,4.8299943186,6,1,10:55:59.213326
