x,y,z,Pixel Trigger Value,Point Type
39.44045,-5.999998,4.6000231632,8,1
39.616746,-6.000001,4.6000231632,4,2
39.528599,-6,4.4893629834,5,3
39.44309,-6.000003,4.5700204032,16,1
39.615748,-5.999999,4.5700204032,5,2
39.52942,-5.999996,4.487412804,4,3
39.446382,-5.999999,4.5400176432,8,1
39.609075,-6.000002,4.5400176432,5,2
39.527729,-5.999995,4.489913034,3,3
39.453095,-6.000001,4.5300167232,12,1
39.600247,-5.999998,4.5300167232,5,2
39.526671,-5.999996,4.489913034,3,3
39.440427,-6.000002,4.6000231632,6,1
39.614375,-5.999995,4.6000231632,5,2
39.527401,-5.999997,4.4878628454,4,3
39.440427,-5.999997,4.5700204032,6,1
39.616727,-5.999997,4.5700204032,4,2
39.528575,-6.000001,4.486912758,2,3
39.448065,-5.999999,4.5400176432,6,1
39.610525,-6,4.5400176432,2,2
39.529293,-5.999998,4.4863627074,5,3
39.455332,-5.999994,4.5300167232,11,1
39.600265,-5.999999,4.5300167232,5,2
39.527801,-5.999993,4.4860626798,5,3
39.44136,-5.999996,4.6000231632,8,1
39.616784,-6.000001,4.6000231632,5,2
39.529073,-5.999998,4.4883628914,3,3
39.440157,-5.999997,4.5700204032,6,1
39.615427,-5.999999,4.5700204032,5,2
39.527791,-6,4.4860126752,5,3
39.450293,-6.000001,4.5400176432,8,1
39.6078,-6,4.5400176432,5,2
39.529047,-6.000002,4.483662459,4,3
39.454317,-6.000001,4.5300167232,7,1
39.600507,-6,4.5300167232,5,2
39.527413,-5.999997,4.4865627258,5,3
39.442687,-5.999995,4.6000231632,15,1
39.616666,-5.999999,4.6000231632,4,2
39.529678,-5.999999,4.4856126384,5,3
39.44537,-6,4.5700204032,7,1
39.616761,-6.000001,4.5700204032,1,2
39.531066,-6.000008,4.4857126476,3,3
39.450439,-5.999997,4.5400176432,13,1
39.609247,-5.999995,4.5400176432,2,2
39.529843,-5.999995,4.4837624682,0,3
39.455316,-5.999998,4.5300167232,7,1
39.601616,-5.999996,4.5300167232,4,2
39.528467,-5.999995,4.4827123716,2,3
39.442467,-6,4.6000231632,11,1
39.616374,-5.999997,4.6000231632,3,2
39.52942,-5.999998,4.4843125188,3,3
39.443787,-6.000004,4.5700204032,8,1
39.616798,-5.999994,4.5700204032,4,2
39.530293,-6.000002,4.4846125464,5,3
39.427656,-6.000004,4.5400176432,11,1
39.433942,-5.999998,4.5400176432,0,2
39.430794,-5.999998,4.5343171188,0,3
39.455285,-6.000005,4.5300167232,7,1
39.601644,-5.999996,4.5300167232,2,2
39.528464,-5.999999,4.4852626062,4,3
39.4414,-6,4.6000231632,7,1
39.615426,-5.999996,4.6000231632,4,2
39.528413,-5.999997,4.4857126476,5,3
39.442777,-6.000001,4.5700204032,8,1
39.615384,-5.999996,4.5700204032,5,2
39.52908,-5.999997,4.4860126752,4,3
39.449096,-6,4.5400176432,6,1
39.609246,-5.999997,4.5400176432,3,2
39.529174,-6.000002,4.483662459,2,3
39.455303,-6,4.5300167232,7,1
39.60249,-6.000001,4.5300167232,3,2
39.528896,-6.000005,4.483662459,2,3
39.441065,-6.000001,4.6000231632,8,1
39.617416,-6.000001,4.6000231632,5,2
39.529242,-6.000001,4.4843625234,3,3
39.441451,-5.999997,4.5700204032,6,1
39.616729,-5.999999,4.5700204032,3,2
39.529091,-5.999997,4.4861126844,5,3
39.450301,-6.000001,4.5400176432,11,1
39.607768,-5.999999,4.5400176432,2,2
39.529035,-6.000002,4.4836124544,2,3
39.455171,-6,4.5300167232,17,1
39.601653,-6,4.5300167232,5,2
39.528411,-6.000001,4.4853126108,4,3
39.441489,-6,4.6000231632,8,1
39.615445,-5.999996,4.6000231632,5,2
39.528467,-5.999996,4.4842625142,5,3
39.442795,-5.999999,4.5700204032,6,1
39.61687,-5.999998,4.5700204032,2,2
39.529833,-6.000001,4.4847625602,3,3
39.450466,-6,4.5400176432,11,1
39.607783,-5.999998,4.5400176432,4,2
39.529126,-6,4.4863127028,4,3
39.455327,-6.000002,4.5300167232,19,1
39.601514,-6.000001,4.5300167232,2,2
39.528422,-5.999998,4.486162689,5,3
39.440476,-5.999999,4.6000231632,6,1
39.615783,-5.999999,4.6000231632,5,2
39.52813,-5.999999,4.4843625234,4,3
39.441383,-6.000001,4.5700204032,7,1
39.616753,-5.999997,4.5700204032,5,2
39.529066,-5.999994,4.4847625602,5,3
39.449459,-6.000001,4.5400176432,6,1
39.60818,-6,4.5400176432,2,2
39.528818,-6.000002,4.486412712,5,3
39.455348,-5.999999,4.5300167232,16,1
39.602897,-6,4.5300167232,3,2
39.529123,-6.000004,4.4865127212,3,3
